Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,happy,sad,angry,happiness,sadness,anger,disgust,surprise,fear
69,7AO4qERV9ib2H9SR4Y1hbt,Carmen: Overture,Epic Orchestra,The City of Prague Philharmonic Orchestra,2010-01-18,42,133461,0.258,0.675,0.476,0.904,0.0924,0.507,-10.006,0.0413,131.008,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,1ZKfC5G9lYZ38agIuiGYCY,"The Nutcracker, Op. 71, Act II, Scene XV: Dance of the Sugar-Plum Fairy",Classical Christmas: Greatest Orchestral Holiday Classics,Various Artists,2010-10-18,42,114209,0.47,0.908,0.0919,0.923,0.0585,0.0727,-21.768,0.0356,116.286,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,01LfK4VZNyUcSM4JEnTqTc,Viejo Zortzico,¡Viva la danza!,Duo Multicorde,2021-11-01,33,340311,0.284,0.984,0.0605,0.893,0.12,0.0533,-19.572,0.0463,75.827,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,6LG4mo88s1W4NVgoCg8BN7,Un Día de Noviembre,Autumn’s Gaze,Andrés Madariaga,2023-11-10,39,330527,0.349,0.984,0.0781,0.949,0.108,0.142,-20.418,0.0475,77.772,9,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,4zJ6esgBOzoDa7tDmbQ5zV,"Symphony No. 40 In G Major: IV. Allegro Finale, K. 550",The Glory of Mozart,Wolfgang Amadeus Mozart,2010-01-18,20,406354,0.39,0.96,0.343,0.931,0.0967,0.3,-12.623,0.037,130.818,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,0LglYHppprzwRfr5NJA30y,"The Nutcracker, Op. 71, Act I, Scene II: March",Classical Christmas: Greatest Orchestral Holiday Classics,Various Artists,2010-10-18,42,154435,0.598,0.957,0.227,0.945,0.0328,0.562,-13.784,0.0351,70.028,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,2AesyFXaHB5kI0s6zCNPaR,Gymnopédie No.1,Autumn’s Gaze,Andrés Madariaga,2023-11-10,40,208684,0.567,0.994,0.0131,0.957,0.102,0.142,-27.406,0.0749,76.423,4,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,2mQWMTbWoEmqUVKAkW1Bxv,Méditation from Thaïs (arr. for violin & harp),Rose Garden,Lily Honigberg,2023-06-22,32,294263,0.142,0.914,0.182,0.0772,0.0979,0.0955,-14.738,0.0426,81.565,4,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77,5CFotcNUp0goJUIQD9mA2x,"Oh Come, All Ye Faithful",Classical Christmas: Greatest Orchestral Holiday Classics,Various Artists,2010-10-18,19,147510,0.394,0.985,0.0846,0.924,0.0647,0.205,-13.164,0.0296,104.862,2,4,0,0,0,0,0.9361669421195984,0.007309484761208296,0.002813466591760516,0.035775888711214066,0.006932893302291632,0.009633904322981834
78,262dNfumWroIA8hkBbXtkn,"Lyric Pieces, Book II, Op. 38: No. 7, Waltz",Enfleurage,Arseniy Gusev,2023-04-26,33,74793,0.394,0.995,0.0132,0.955,0.0877,0.253,-35.544,0.0541,137.743,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,4fCgUwtcBQJycmvgeDU4tn,"La plus que lente, L. 121 (arr. for violin & harp)",Rose Garden,Lily Honigberg,2023-06-22,38,259272,0.284,0.959,0.177,0.0177,0.0785,0.124,-14.528,0.0454,129.415,7,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,2KE3hsRXyWPIfZ2bx0MVXR,Villanesca (Arr. for Harp & Guitar),¡Viva la danza!,Duo Multicorde,2021-11-01,31,323221,0.573,0.984,0.074,0.908,0.0859,0.119,-22.221,0.0542,92.5,7,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,1930AH4hS9RcKP5K6QeqiO,"Piano Sonata No. 10 In C Major: I. Allegro Moderato, K. 330",The Glory of Mozart,Wolfgang Amadeus Mozart,2010-01-18,31,396043,0.435,0.986,0.203,0.925,0.116,0.577,-14.871,0.0361,130.663,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
