Unnamed: 0,id,name,album,artist,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,trust,fear,negative,sadness,anger,surprise,positive,disgust,joy,anticipation
295,06Lp0gsTyJU3vsvZTBpzHn,Meaner Girl,Meaner Girl,Anna Sofia,2019-04-12,0,193247,0.547,0.819,0.358,0.0,0.108,0.314,-7.738,0.0482,164.085,10,4,angry,0.14285714285714285,0.1,0.18571428571428572,0.12857142857142856,0.05714285714285714,0.05714285714285714,0.17142857142857143,0.04285714285714286,0.08571428571428572,0.02857142857142857
296,5EzL7hGT9g2Tvqsy158Lu9,Pussy Talk,City On Lock,City Girls,2020-06-20,57,218332,0.943,0.0016,0.641,0.0,0.211,0.242,-5.598,0.191,99.099,1,4,angry,0.06324110671936758,0.07509881422924901,0.20553359683794467,0.03162055335968379,0.05533596837944664,0.007905138339920948,0.28063241106719367,0.16600790513833993,0.05138339920948617,0.06324110671936758
297,4pAl7FkDMNBsjykPXo91B3,Needed Me,ANTI (Deluxe),Rihanna,2016-01-28,81,191600,0.697,0.11,0.315,0.0,0.0825,0.298,-8.091,0.234,110.872,5,4,angry,0.09243697478991597,0.07563025210084033,0.16806722689075632,0.058823529411764705,0.15126050420168066,0.05042016806722689,0.13445378151260504,0.1092436974789916,0.10084033613445378,0.058823529411764705
298,36phXHOKx8rO7CMp2vNX4x,Love Myself,HAIZ,Hailee Steinfeld,2016-02-26,65,218773,0.617,0.0026,0.759,0.0,0.419,0.324,-6.785,0.0678,122.924,0,4,angry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,4ka1FkKAMde6dQAFFMXKac,i hope ur miserable until ur dead,i hope ur miserable until ur dead,Nessa Barrett,2021-08-06,65,177582,0.706,0.0273,0.544,0.0,0.087,0.477,-7.275,0.0306,115.935,2,4,angry,0.08298755186721991,0.04149377593360996,0.15767634854771784,0.1078838174273859,0.0995850622406639,0.11203319502074689,0.1037344398340249,0.1037344398340249,0.0995850622406639,0.0912863070539419
0,2XEdrmqNM9ZQQ24ViuceB0,"Hello, My Name Is",Into The Light,Matthew West,2012-01-01,56,223426,0.595,0.000583,0.894,1.24e-06,0.326,0.643,-4.115,0.0323,101.987,11,4,scared,0.17708333333333334,0.0,0.041666666666666664,0.052083333333333336,0.0,0.0,0.3541666666666667,0.0,0.23958333333333334,0.13541666666666666
1,0eI19vR5WZ12fuYcEFUVkw,God's Not Dead (Like A Lion),God's Not Dead,Newsboys,2011-01-01,62,258453,0.516,0.000479,0.905,0.0,0.198,0.612,-5.613,0.0399,129.999,11,4,scared,0.14444444444444443,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.24444444444444444,0.0,0.15,0.12777777777777777
2,7zJg7aNCvTKW9EtG1Dvzkl,Fix My Eyes,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),for KING & COUNTRY,2015-10-22,58,215933,0.587,0.0539,0.739,2.08e-06,0.049,0.549,-5.762,0.0365,100.005,0,4,scared,0.14705882352941177,0.058823529411764705,0.10294117647058823,0.014705882352941176,0.11764705882352941,0.014705882352941176,0.29411764705882354,0.0,0.14705882352941177,0.10294117647058823
3,5AcdaSVQfLcUKMaqchfBie,My Lighthouse,The Art Of Celebration,Rend Collective,2014-03-17,64,224169,0.545,0.0326,0.805,0.0,0.781,0.727,-5.792,0.0491,110.005,0,4,scared,0.19014084507042253,0.06338028169014084,0.035211267605633804,0.028169014084507043,0.028169014084507043,0.0,0.38028169014084506,0.0,0.19718309859154928,0.07746478873239436
4,7FO6QgfJRKtEwZiYO0dIO9,Speak Life,Eye On It (Deluxe Edition),TobyMac,2012-01-01,57,205080,0.65,0.134,0.888,0.0,0.0879,0.565,-3.348,0.051,90.013,9,4,scared,0.11971830985915492,0.07746478873239436,0.1056338028169014,0.06338028169014084,0.056338028169014086,0.07746478873239436,0.19014084507042253,0.007042253521126761,0.1619718309859155,0.14084507042253522
5,73ZSUS3WLluxgASR1Hp74B,Soul On Fire (feat. All Sons & Daughters) (feat. All Sons & Daughters),Lead Us Back: Songs of Worship,Third Day,2015-02-27,58,197706,0.501,0.218,0.876,2.39e-05,0.157,0.228,-6.324,0.0545,103.974,1,4,scared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
